Area|Ethnic group|Age group|Sex|Year|Value|Flags
"Total - New Zealand by District Health Board"|"Maori only"|"85-89 years"|"Male"|"2018"|435|
"Total - New Zealand by District Health Board"|"Maori only"|"85-89 years"|"Female"|"2018"|792|
"Total - New Zealand by District Health Board"|"Pacific Peoples only"|"85-89 years"|"Male"|"2018"|264|
"Total - New Zealand by District Health Board"|"Pacific Peoples only"|"85-89 years"|"Female"|"2018"|528|
"Total - New Zealand by District Health Board"|"Asian only"|"85-89 years"|"Male"|"2018"|867|
"Total - New Zealand by District Health Board"|"Asian only"|"85-89 years"|"Female"|"2018"|1077|
"Total - New Zealand by District Health Board"|"Middle Eastern/Latin American/African only"|"85-89 years"|"Male"|"2018"|48|
"Total - New Zealand by District Health Board"|"Middle Eastern/Latin American/African only"|"85-89 years"|"Female"|"2018"|48|
"Total - New Zealand by District Health Board"|"Other Ethnicity only"|"85-89 years"|"Male"|"2018"|81|
"Total - New Zealand by District Health Board"|"Other Ethnicity only"|"85-89 years"|"Female"|"2018"|123|
"Total - New Zealand by District Health Board"|"Maori/European"|"85-89 years"|"Male"|"2018"|255|
"Total - New Zealand by District Health Board"|"Maori/European"|"85-89 years"|"Female"|"2018"|426|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples"|"85-89 years"|"Male"|"2018"|0|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples"|"85-89 years"|"Female"|"2018"|6|
"Total - New Zealand by District Health Board"|"Pacific Peoples/European"|"85-89 years"|"Male"|"2018"|42|
"Total - New Zealand by District Health Board"|"Pacific Peoples/European"|"85-89 years"|"Female"|"2018"|33|
"Total - New Zealand by District Health Board"|"Asian/European"|"85-89 years"|"Male"|"2018"|15|
"Total - New Zealand by District Health Board"|"Asian/European"|"85-89 years"|"Female"|"2018"|21|
"Total - New Zealand by District Health Board"|"Two groups not elsewhere included"|"85-89 years"|"Male"|"2018"|33|
"Total - New Zealand by District Health Board"|"Two groups not elsewhere included"|"85-89 years"|"Female"|"2018"|60|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples/European"|"85-89 years"|"Male"|"2018"|9|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples/European"|"85-89 years"|"Female"|"2018"|9|
"Total - New Zealand by District Health Board"|"Three groups not elsewhere included"|"85-89 years"|"Male"|"2018"|6|
"Total - New Zealand by District Health Board"|"Three groups not elsewhere included"|"85-89 years"|"Female"|"2018"|12|
"Total - New Zealand by District Health Board"|"Four to six groups"|"85-89 years"|"Male"|"2018"|3|
"Total - New Zealand by District Health Board"|"Four to six groups"|"85-89 years"|"Female"|"2018"|6|
