Area|Religious affiliation|Age group|Sex|Year|Value|Flags
"South Taranaki District"|"No religion"|"55-59 years"|"Male"|"2018"|405|
"South Taranaki District"|"No religion"|"55-59 years"|"Female"|"2018"|321|
"South Taranaki District"|"Object to answering"|"55-59 years"|"Male"|"2018"|114|
"South Taranaki District"|"Object to answering"|"55-59 years"|"Female"|"2018"|120|
"Ruapehu District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|213|
"Ruapehu District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|231|
"Ruapehu District"|"No religion"|"55-59 years"|"Male"|"2018"|198|
"Ruapehu District"|"No religion"|"55-59 years"|"Female"|"2018"|174|
"Ruapehu District"|"Object to answering"|"55-59 years"|"Male"|"2018"|39|
"Ruapehu District"|"Object to answering"|"55-59 years"|"Female"|"2018"|48|
"Whanganui District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|669|
"Whanganui District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|900|
"Whanganui District"|"No religion"|"55-59 years"|"Male"|"2018"|708|
"Whanganui District"|"No religion"|"55-59 years"|"Female"|"2018"|606|
"Whanganui District"|"Object to answering"|"55-59 years"|"Male"|"2018"|162|
"Whanganui District"|"Object to answering"|"55-59 years"|"Female"|"2018"|207|
"Rangitikei District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|279|
"Rangitikei District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|321|
"Rangitikei District"|"No religion"|"55-59 years"|"Male"|"2018"|234|
"Rangitikei District"|"No religion"|"55-59 years"|"Female"|"2018"|186|
"Rangitikei District"|"Object to answering"|"55-59 years"|"Male"|"2018"|66|
"Rangitikei District"|"Object to answering"|"55-59 years"|"Female"|"2018"|54|
"Manawatu District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|471|
"Manawatu District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|576|
"Manawatu District"|"No religion"|"55-59 years"|"Male"|"2018"|492|
"Manawatu District"|"No religion"|"55-59 years"|"Female"|"2018"|402|
"Manawatu District"|"Object to answering"|"55-59 years"|"Male"|"2018"|120|
"Manawatu District"|"Object to answering"|"55-59 years"|"Female"|"2018"|138|
"Palmerston North City"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|1119|
"Palmerston North City"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|1476|
"Palmerston North City"|"No religion"|"55-59 years"|"Male"|"2018"|1080|
"Palmerston North City"|"No religion"|"55-59 years"|"Female"|"2018"|915|
"Palmerston North City"|"Object to answering"|"55-59 years"|"Male"|"2018"|234|
"Palmerston North City"|"Object to answering"|"55-59 years"|"Female"|"2018"|270|
"Tararua District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|315|
"Tararua District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|381|
"Tararua District"|"No religion"|"55-59 years"|"Male"|"2018"|279|
"Tararua District"|"No religion"|"55-59 years"|"Female"|"2018"|228|
"Tararua District"|"Object to answering"|"55-59 years"|"Male"|"2018"|75|
"Tararua District"|"Object to answering"|"55-59 years"|"Female"|"2018"|69|
"Horowhenua District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|456|
"Horowhenua District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|639|
"Horowhenua District"|"No religion"|"55-59 years"|"Male"|"2018"|612|
"Horowhenua District"|"No religion"|"55-59 years"|"Female"|"2018"|495|
"Horowhenua District"|"Object to answering"|"55-59 years"|"Male"|"2018"|138|
"Horowhenua District"|"Object to answering"|"55-59 years"|"Female"|"2018"|144|
"Kapiti Coast District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|726|
"Kapiti Coast District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|942|
"Kapiti Coast District"|"No religion"|"55-59 years"|"Male"|"2018"|948|
"Kapiti Coast District"|"No religion"|"55-59 years"|"Female"|"2018"|900|
"Kapiti Coast District"|"Object to answering"|"55-59 years"|"Male"|"2018"|189|
"Kapiti Coast District"|"Object to answering"|"55-59 years"|"Female"|"2018"|192|
"Porirua City"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|825|
"Porirua City"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|1047|
"Porirua City"|"No religion"|"55-59 years"|"Male"|"2018"|645|
"Porirua City"|"No religion"|"55-59 years"|"Female"|"2018"|639|
"Porirua City"|"Object to answering"|"55-59 years"|"Male"|"2018"|132|
"Porirua City"|"Object to answering"|"55-59 years"|"Female"|"2018"|162|
"Upper Hutt City"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|687|
"Upper Hutt City"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|864|
"Upper Hutt City"|"No religion"|"55-59 years"|"Male"|"2018"|681|
"Upper Hutt City"|"No religion"|"55-59 years"|"Female"|"2018"|516|
"Upper Hutt City"|"Object to answering"|"55-59 years"|"Male"|"2018"|138|
"Upper Hutt City"|"Object to answering"|"55-59 years"|"Female"|"2018"|153|
"Lower Hutt City"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|1530|
"Lower Hutt City"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|2004|
"Lower Hutt City"|"No religion"|"55-59 years"|"Male"|"2018"|1497|
"Lower Hutt City"|"No religion"|"55-59 years"|"Female"|"2018"|1227|
"Lower Hutt City"|"Object to answering"|"55-59 years"|"Male"|"2018"|255|
"Lower Hutt City"|"Object to answering"|"55-59 years"|"Female"|"2018"|297|
"Wellington City"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|2535|
"Wellington City"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|3069|
"Wellington City"|"No religion"|"55-59 years"|"Male"|"2018"|2760|
"Wellington City"|"No religion"|"55-59 years"|"Female"|"2018"|2448|
"Wellington City"|"Object to answering"|"55-59 years"|"Male"|"2018"|432|
"Wellington City"|"Object to answering"|"55-59 years"|"Female"|"2018"|414|
"Masterton District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|390|
"Masterton District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|468|
"Masterton District"|"No religion"|"55-59 years"|"Male"|"2018"|396|
"Masterton District"|"No religion"|"55-59 years"|"Female"|"2018"|336|
"Masterton District"|"Object to answering"|"55-59 years"|"Male"|"2018"|84|
"Masterton District"|"Object to answering"|"55-59 years"|"Female"|"2018"|105|
"Carterton District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|126|
"Carterton District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|183|
"Carterton District"|"No religion"|"55-59 years"|"Male"|"2018"|183|
"Carterton District"|"No religion"|"55-59 years"|"Female"|"2018"|162|
"Carterton District"|"Object to answering"|"55-59 years"|"Male"|"2018"|42|
"Carterton District"|"Object to answering"|"55-59 years"|"Female"|"2018"|36|
"South Wairarapa District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|159|
"South Wairarapa District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|213|
"South Wairarapa District"|"No religion"|"55-59 years"|"Male"|"2018"|225|
"South Wairarapa District"|"No religion"|"55-59 years"|"Female"|"2018"|210|
"South Wairarapa District"|"Object to answering"|"55-59 years"|"Male"|"2018"|45|
"South Wairarapa District"|"Object to answering"|"55-59 years"|"Female"|"2018"|42|
"Tasman District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|624|
"Tasman District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|885|
"Tasman District"|"No religion"|"55-59 years"|"Male"|"2018"|1116|
"Tasman District"|"No religion"|"55-59 years"|"Female"|"2018"|1050|
"Tasman District"|"Object to answering"|"55-59 years"|"Male"|"2018"|198|
"Tasman District"|"Object to answering"|"55-59 years"|"Female"|"2018"|234|
"Nelson City"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|636|
"Nelson City"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|813|
"Nelson City"|"No religion"|"55-59 years"|"Male"|"2018"|1020|
"Nelson City"|"No religion"|"55-59 years"|"Female"|"2018"|930|
"Nelson City"|"Object to answering"|"55-59 years"|"Male"|"2018"|162|
"Nelson City"|"Object to answering"|"55-59 years"|"Female"|"2018"|201|
"Marlborough District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|645|
"Marlborough District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|888|
"Marlborough District"|"No religion"|"55-59 years"|"Male"|"2018"|936|
"Marlborough District"|"No religion"|"55-59 years"|"Female"|"2018"|750|
"Marlborough District"|"Object to answering"|"55-59 years"|"Male"|"2018"|177|
"Marlborough District"|"Object to answering"|"55-59 years"|"Female"|"2018"|186|
"Kaikoura District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|72|
"Kaikoura District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|84|
"Kaikoura District"|"No religion"|"55-59 years"|"Male"|"2018"|75|
"Kaikoura District"|"No religion"|"55-59 years"|"Female"|"2018"|54|
"Kaikoura District"|"Object to answering"|"55-59 years"|"Male"|"2018"|27|
"Kaikoura District"|"Object to answering"|"55-59 years"|"Female"|"2018"|18|
"Buller District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|159|
"Buller District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|183|
"Buller District"|"No religion"|"55-59 years"|"Male"|"2018"|276|
"Buller District"|"No religion"|"55-59 years"|"Female"|"2018"|198|
"Buller District"|"Object to answering"|"55-59 years"|"Male"|"2018"|51|
"Buller District"|"Object to answering"|"55-59 years"|"Female"|"2018"|54|
"Grey District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|204|
"Grey District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|243|
"Grey District"|"No religion"|"55-59 years"|"Male"|"2018"|297|
"Grey District"|"No religion"|"55-59 years"|"Female"|"2018"|213|
"Grey District"|"Object to answering"|"55-59 years"|"Male"|"2018"|51|
"Grey District"|"Object to answering"|"55-59 years"|"Female"|"2018"|66|
"Westland District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|135|
"Westland District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|195|
"Westland District"|"No religion"|"55-59 years"|"Male"|"2018"|171|
"Westland District"|"No religion"|"55-59 years"|"Female"|"2018"|129|
"Westland District"|"Object to answering"|"55-59 years"|"Male"|"2018"|51|
"Westland District"|"Object to answering"|"55-59 years"|"Female"|"2018"|54|
"Hurunui District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|213|
"Hurunui District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|213|
"Hurunui District"|"No religion"|"55-59 years"|"Male"|"2018"|252|
"Hurunui District"|"No religion"|"55-59 years"|"Female"|"2018"|228|
"Hurunui District"|"Object to answering"|"55-59 years"|"Male"|"2018"|45|
"Hurunui District"|"Object to answering"|"55-59 years"|"Female"|"2018"|45|
"Waimakariri District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|858|
"Waimakariri District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|1071|
"Waimakariri District"|"No religion"|"55-59 years"|"Male"|"2018"|1095|
"Waimakariri District"|"No religion"|"55-59 years"|"Female"|"2018"|891|
"Waimakariri District"|"Object to answering"|"55-59 years"|"Male"|"2018"|192|
"Waimakariri District"|"Object to answering"|"55-59 years"|"Female"|"2018"|225|
"Christchurch City"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|4923|
"Christchurch City"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|6066|
"Christchurch City"|"No religion"|"55-59 years"|"Male"|"2018"|5631|
"Christchurch City"|"No religion"|"55-59 years"|"Female"|"2018"|4728|
"Christchurch City"|"Object to answering"|"55-59 years"|"Male"|"2018"|1002|
"Christchurch City"|"Object to answering"|"55-59 years"|"Female"|"2018"|1086|
"Selwyn District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|858|
"Selwyn District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|1068|
"Selwyn District"|"No religion"|"55-59 years"|"Male"|"2018"|984|
"Selwyn District"|"No religion"|"55-59 years"|"Female"|"2018"|777|
"Selwyn District"|"Object to answering"|"55-59 years"|"Male"|"2018"|174|
"Selwyn District"|"Object to answering"|"55-59 years"|"Female"|"2018"|171|
"Ashburton District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|552|
"Ashburton District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|630|
"Ashburton District"|"No religion"|"55-59 years"|"Male"|"2018"|426|
"Ashburton District"|"No religion"|"55-59 years"|"Female"|"2018"|309|
"Ashburton District"|"Object to answering"|"55-59 years"|"Male"|"2018"|96|
"Ashburton District"|"Object to answering"|"55-59 years"|"Female"|"2018"|132|
"Timaru District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|795|
"Timaru District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|966|
"Timaru District"|"No religion"|"55-59 years"|"Male"|"2018"|729|
"Timaru District"|"No religion"|"55-59 years"|"Female"|"2018"|621|
"Timaru District"|"Object to answering"|"55-59 years"|"Male"|"2018"|192|
"Timaru District"|"Object to answering"|"55-59 years"|"Female"|"2018"|183|
"Mackenzie District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|87|
"Mackenzie District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|96|
"Mackenzie District"|"No religion"|"55-59 years"|"Male"|"2018"|78|
"Mackenzie District"|"No religion"|"55-59 years"|"Female"|"2018"|60|
"Mackenzie District"|"Object to answering"|"55-59 years"|"Male"|"2018"|21|
"Mackenzie District"|"Object to answering"|"55-59 years"|"Female"|"2018"|12|
"Waimate District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|135|
"Waimate District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|153|
"Waimate District"|"No religion"|"55-59 years"|"Male"|"2018"|144|
"Waimate District"|"No religion"|"55-59 years"|"Female"|"2018"|108|
"Waimate District"|"Object to answering"|"55-59 years"|"Male"|"2018"|39|
"Waimate District"|"Object to answering"|"55-59 years"|"Female"|"2018"|48|
"Chatham Islands Territory"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|12|
